"","user_id","event","tickets","event_id","attendance"
"1","100471","AC/DC",8,"44",11
"2","174397","AC/DC",5,"44",5
"3","699361","AC/DC",1,"44",8
"4","605793","AC/DC",4,"44",7
"5","722384","AC/DC",4,"44",13
"6","605147","AC/DC",4,"44",3
"7","434341","AC/DC",2,"44",3
"8","527546","AC/DC",2,"44",3
"9","275875","AC/DC",2,"44",13
"10","665086","AC/DC",2,"44",6
"11","498521","AC/DC",4,"44",9
"12","463742","AC/DC",4,"44",4
"13","695594","AC/DC",6,"44",3
"14","356841","AC/DC",2,"44",20
"15","159027","AC/DC",3,"44",6
"16","199691","AC/DC",4,"44",3
"17","692243","AC/DC",4,"44",16
"18","474727","AC/DC",2,"44",37
"19","485097","AC/DC",3,"44",4
"20","208205","AC/DC",2,"44",3
"21","360704","AC/DC",4,"44",3
"22","520114","AC/DC",2,"44",16
"23","379748","AC/DC",1,"44",5
"24","157717","AC/DC",8,"44",3
"25","468488","AC/DC",2,"44",4
"26","300641","AC/DC",6,"44",3
"27","92174","AC/DC",4,"44",5
"28","45837","AC/DC",2,"44",16
"29","699696","AC/DC",4,"44",16
"30","765009","AC/DC",2,"44",11
"31","397229","AC/DC",4,"44",6
"32","318517","AC/DC",1,"44",5
"33","327167","AC/DC",2,"44",5
"34","246069","AC/DC",2,"44",15
"35","566757","AC/DC",4,"44",25
"36","732710","AC/DC",2,"44",33
"37","325871","AC/DC",2,"44",13
"38","198066","AC/DC",4,"44",8
"39","623403","AC/DC",2,"44",5
"40","99122","AC/DC",4,"44",12
"41","43452","AC/DC",2,"44",9
"42","328103","AC/DC",2,"44",7
"43","291705","AC/DC",2,"44",4
"44","313374","AC/DC",2,"44",13
"45","749049","AC/DC",2,"44",8
"46","575282","AC/DC",3,"44",5
"47","555444","AC/DC",4,"44",12
"48","25763","AC/DC",1,"44",8
"49","318986","AC/DC",2,"44",7
"50","343964","AC/DC",2,"44",6
"51","206708","AC/DC",4,"44",3
"52","203579","AC/DC",2,"44",24
"53","667869","AC/DC",2,"44",17
"54","47100","AC/DC",4,"44",27
"55","429712","AC/DC",2,"44",4
"56","756250","AC/DC",2,"44",13
"57","154692","AC/DC",2,"44",57
"58","258914","AC/DC",2,"44",11
"59","616116","AC/DC",2,"44",4
"60","661273","AC/DC",8,"44",4
"61","622517","AC/DC",4,"44",11
"62","158927","AC/DC",2,"44",4
"63","558358","AC/DC",2,"44",6
"64","51873","AC/DC",4,"44",3
"65","337507","AC/DC",4,"44",8
"66","127044","AC/DC",9,"44",60
"67","192138","AC/DC",4,"44",21
"68","165510","AC/DC",4,"44",7
"69","446484","AC/DC",12,"44",13
"70","423353","AC/DC",2,"44",5
"71","96644","AC/DC",2,"44",23
"72","160954","AC/DC",4,"44",3
"73","429578","AC/DC",2,"44",3
"74","707748","AC/DC",2,"44",8
"75","397463","AC/DC",2,"44",7
"76","602833","AC/DC",2,"44",6
"77","56976","AC/DC",2,"44",7
"78","411484","AC/DC",2,"44",29
"79","471155","AC/DC",2,"44",6
"80","618074","AC/DC",2,"44",4
"81","416994","AC/DC",4,"44",11
"82","349829","AC/DC",6,"44",10
"83","655651","AC/DC",2,"44",21
"84","384926","AC/DC",2,"44",10
"85","589904","AC/DC",2,"44",3
"86","442126","AC/DC",2,"44",3
"87","126112","AC/DC",2,"44",4
"88","569769","AC/DC",2,"44",4
"89","73803","Def Leppard",2,"690",25
"90","134491","Def Leppard",2,"690",5
"91","260075","Def Leppard",4,"690",23
"92","213991","Def Leppard",14,"690",25
"93","584662","Def Leppard",4,"690",20
"94","315398","Def Leppard",59,"690",64
"95","214806","Def Leppard",4,"690",20
"96","236018","Def Leppard",4,"690",17
"97","101243","Def Leppard",2,"690",3
"98","631217","Def Leppard",4,"690",21
"99","586306","Def Leppard",6,"690",32
"100","400889","Macklemore & Ryan Lewis",2,"1637",9
"101","472989","Macklemore & Ryan Lewis",2,"1637",6
"102","349512","Macklemore & Ryan Lewis",2,"1637",5
"103","229845","Macklemore & Ryan Lewis",3,"1637",7
"104","569591","Macklemore & Ryan Lewis",2,"1637",13
"105","641248","Macklemore & Ryan Lewis",2,"1637",4
"106","235492","Macklemore & Ryan Lewis",2,"1637",34
"107","11713","Macklemore & Ryan Lewis",2,"1637",4
"108","285593","Macklemore & Ryan Lewis",4,"1637",3
"109","164601","Macklemore & Ryan Lewis",4,"1637",39
"110","575696","Macklemore & Ryan Lewis",2,"1637",9
"111","11981","Flo Rida",2,"910",9
"112","645574","Megan Nicole",2,"1714",65
"113","118371","Country Megaticket",4,"579",7
"114","188292","Country Megaticket",12,"579",45
"115","261241","Country Megaticket",16,"579",24
"116","541056","Country Megaticket",8,"579",11
"117","458590","Country Megaticket",10,"579",5
"118","742729","Country Megaticket",16,"579",6
"119","767375","Country Megaticket",4,"579",4
"120","314437","Country Megaticket",1,"579",3
"121","221956","Country Megaticket",2,"579",7
"122","551098","Country Megaticket",2,"579",11
"123","540468","Country Megaticket",30,"579",11
"124","356741","Country Megaticket",8,"579",5
"125","425211","Country Megaticket",2,"579",5
"126","271711","Country Megaticket",8,"579",7
"127","546653","Country Megaticket",1,"579",3
"128","305596","Country Megaticket",2,"579",9
"129","594450","Country Megaticket",6,"579",29
"130","568107","Country Megaticket",8,"579",8
"131","465361","Country Megaticket",8,"579",9
"132","230404","Country Megaticket",4,"579",12
"133","419582","Country Megaticket",2,"579",4
"134","720389","Country Megaticket",2,"579",3
"135","722365","Country Megaticket",8,"579",7
"136","15238","Country Megaticket",24,"579",6
"137","136555","Country Megaticket",8,"579",11
"138","463160","Country Megaticket",16,"579",9
"139","552933","Country Megaticket",8,"579",6
"140","462378","Country Megaticket",8,"579",4
"141","449442","Country Megaticket",8,"579",4
"142","580249","Country Megaticket",16,"579",11
"143","717538","Country Megaticket",8,"579",5
"144","603504","Country Megaticket",2,"579",12
"145","748303","Country Megaticket",2,"579",25
"146","462642","Jennifer Lopez",4,"1293",26
"147","672454","Jennifer Lopez",2,"1293",26
"148","328791","Jennifer Lopez",14,"1293",9
"149","676020","Jennifer Lopez",23,"1293",7
"150","133610","Jennifer Lopez",8,"1293",10
"151","285906","Jennifer Lopez",4,"1293",12
"152","203428","Jennifer Lopez",2,"1293",7
"153","433099","Jennifer Lopez",8,"1293",17
"154","481947","Jennifer Lopez",6,"1293",4
"155","227711","Jennifer Lopez",4,"1293",11
"156","70369","Jennifer Lopez",14,"1293",11
"157","551121","Jennifer Lopez",8,"1293",3
"158","530531","Jennifer Lopez",4,"1293",4
"159","354513","Jennifer Lopez",16,"1293",4
"160","754751","Jennifer Lopez",12,"1293",3
"161","154214","Jennifer Lopez",2,"1293",14
"162","711342","Jennifer Lopez",6,"1293",17
"163","330943","Jennifer Lopez",8,"1293",6
"164","572728","Jennifer Lopez",11,"1293",6
"165","278732","Jennifer Lopez",11,"1293",6
"166","286701","Jennifer Lopez",32,"1293",6
"167","591963","Jennifer Lopez",4,"1293",7
"168","179835","Jennifer Lopez",12,"1293",7
"169","296136","Jennifer Lopez",20,"1293",16
"170","583740","Jennifer Lopez",16,"1293",3
"171","269351","Jennifer Lopez",4,"1293",5
"172","706172","Jennifer Lopez",8,"1293",9
"173","734190","Jennifer Lopez",14,"1293",15
"174","219230","Jennifer Lopez",2,"1293",22
"175","313596","Jennifer Lopez",12,"1293",8
"176","318452","Jennifer Lopez",6,"1293",9
"177","695651","The Piano Guys",6,"2741",10
"178","530115","The Piano Guys",2,"2741",18
"179","203218","The Piano Guys",8,"2741",8
"180","657150","The Piano Guys",3,"2741",5
"181","307242","The Piano Guys",4,"2741",17
"182","72446","The Piano Guys",4,"2741",3
"183","261454","Il Divo",8,"1192",13
"184","27104","Il Divo",2,"1192",9
"185","16843","Il Divo",8,"1192",14
"186","40881","Il Divo",2,"1192",6
"187","2291","Il Divo",1,"1192",14
"188","617716","Il Divo",2,"1192",64
"189","74548","Il Divo",1,"1192",6
"190","139587","Maná",4,"1653",4
"191","242572","Maná",2,"1653",5
"192","498863","Maná",2,"1653",4
"193","683078","Maná",3,"1653",5
"194","301826","Maná",3,"1653",3
"195","741229","Maná",18,"1653",4
"196","317243","Maná",2,"1653",7
"197","327113","Maná",16,"1653",14
"198","284117","Maná",2,"1653",5
"199","593045","Maná",4,"1653",7
"200","715254","Maná",5,"1653",10
"201","325955","Maná",5,"1653",3
"202","676830","Maná",4,"1653",17
"203","343084","Maná",4,"1653",5
"204","532600","Maná",3,"1653",13
"205","741960","Maná",4,"1653",5
"206","25223","Maná",10,"1653",4
"207","710243","Maná",6,"1653",15
"208","263838","Maná",2,"1653",4
"209","594651","Maná",6,"1653",4
"210","455120","Maná",4,"1653",8
"211","515776","Maná",14,"1653",6
"212","101771","Maná",38,"1653",19
"213","225000","Maná",2,"1653",4
"214","159209","Maná",17,"1653",34
"215","442084","Maná",6,"1653",28
"216","534293","Maná",2,"1653",4
"217","122232","Maná",2,"1653",8
"218","696293","Maná",2,"1653",3
"219","67830","Maná",2,"1653",8
"220","130439","Maná",4,"1653",5
"221","639657","Maná",6,"1653",3
"222","545887","Maná",2,"1653",3
"223","458782","Maná",2,"1653",20
"224","710148","Maná",2,"1653",4
"225","601397","Maná",8,"1653",3
"226","233198","Maná",2,"1653",17
"227","371197","Maná",8,"1653",11
"228","116800","Maná",3,"1653",9
"229","473877","Maná",6,"1653",6
"230","115815","Maná",2,"1653",17
"231","459308","Maná",8,"1653",5
"232","564212","Maná",11,"1653",4
"233","724089","Maná",40,"1653",29
"234","734903","Maná",8,"1653",4
"235","134532","Maná",2,"1653",3
"236","395753","Maná",2,"1653",28
"237","423061","Maná",2,"1653",3
"238","674498","Maná",4,"1653",3
"239","45390","Maná",4,"1653",10
"240","149432","Maná",2,"1653",8
"241","604298","Maná",2,"1653",16
"242","361398","Maná",2,"1653",16
"243","304558","Maná",8,"1653",6
"244","227765","Maná",8,"1653",5
"245","31441","Maná",4,"1653",4
"246","264225","Maná",4,"1653",3
"247","532227","Maná",10,"1653",3
"248","761457","Maná",4,"1653",7
"249","443426","Maná",2,"1653",8
"250","641204","Maná",2,"1653",3
"251","360200","Maná",8,"1653",3
"252","379847","Maná",7,"1653",5
"253","257208","Maná",4,"1653",6
"254","116903","Maná",2,"1653",7
"255","134464","Il Divo",3,"1192",3
"256","373910","Il Divo",4,"1192",14
"257","754074","Il Divo",4,"1192",9
"258","576279","Maná",2,"1653",7
"259","605308","Maná",1,"1653",5
"260","73080","Maná",16,"1653",6
"261","470629","Maná",4,"1653",8
"262","242193","Maná",8,"1653",4
"263","50357","Maná",10,"1653",26
"264","117841","Maná",2,"1653",4
"265","71773","Maná",2,"1653",3
"266","242126","Maná",3,"1653",7
"267","389681","Maná",4,"1653",3
"268","647654","Maná",6,"1653",7
"269","27140","Maná",3,"1653",4
"270","313524","Maná",3,"1653",4
"271","411776","Maná",6,"1653",11
"272","441374","Maná",2,"1653",18
"273","574696","Maná",5,"1653",4
"274","260984","Maná",2,"1653",5
"275","631924","Maná",2,"1653",8
"276","82198","Maná",3,"1653",3
"277","566968","Maná",2,"1653",3
"278","21228","Maná",10,"1653",7
"279","473284","Maná",6,"1653",4
"280","31686","Maná",4,"1653",4
"281","285127","Maná",5,"1653",3
"282","321184","Maná",4,"1653",7
"283","333136","Maná",2,"1653",3
"284","526645","Maná",2,"1653",9
"285","314388","Maná",2,"1653",7
"286","347576","Maná",8,"1653",10
"287","396831","Maná",4,"1653",3
"288","254425","Maná",2,"1653",3
"289","231173","Maná",9,"1653",4
"290","263192","Maná",10,"1653",5
"291","512823","Maná",4,"1653",4
"292","621485","Maná",8,"1653",7
"293","751565","Maná",3,"1653",7
"294","490356","Maná",2,"1653",4
"295","499559","Maná",8,"1653",3
"296","539359","Maná",8,"1653",4
"297","449279","Maná",2,"1653",14
"298","507375","Maná",10,"1653",9
"299","753192","Maná",6,"1653",5
"300","49125","Maná",4,"1653",3
"301","160645","Maná",4,"1653",19
"302","711260","Maná",2,"1653",8
"303","531647","Maná",4,"1653",6
"304","688298","Billy Joel",2,"276",13
"305","271458","Billy Joel",16,"276",6
"306","531983","Billy Joel",8,"276",4
"307","117656","Billy Joel",1,"276",10
"308","33961","Billy Joel",24,"276",3
"309","636388","Billy Joel",4,"276",8
"310","312361","Billy Joel",3,"276",5
"311","237679","Billy Joel",8,"276",3
"312","631409","Billy Joel",2,"276",5
"313","454731","Billy Joel",4,"276",3
"314","531457","Billy Joel",2,"276",12
"315","581431","Billy Joel",2,"276",3
"316","169279","Billy Joel",2,"276",11
"317","707879","Billy Joel",3,"276",3
"318","333453","Billy Joel",4,"276",13
"319","318671","Billy Joel",8,"276",3
"320","5398","Billy Joel",4,"276",3
"321","66395","Billy Joel",4,"276",6
"322","64665","Billy Joel",8,"276",3
"323","319334","Billy Joel",2,"276",12
"324","412785","Billy Joel",6,"276",9
"325","547517","Billy Joel",4,"276",3
"326","121350","Billy Joel",3,"276",12
"327","588307","Billy Joel",2,"276",12
"328","504297","Billy Joel",6,"276",3
"329","534471","Billy Joel",6,"276",3
"330","233694","Billy Joel",2,"276",4
"331","161366","Billy Joel",2,"276",24
"332","683398","Billy Joel",8,"276",16
"333","688702","Billy Joel",8,"276",3
"334","633111","Billy Joel",2,"276",3
"335","596854","Billy Joel",3,"276",4
"336","85039","Billy Joel",2,"276",7
"337","348208","Billy Joel",2,"276",11
"338","763041","Billy Joel",2,"276",8
"339","671705","Billy Joel",2,"276",3
"340","151181","Billy Joel",2,"276",5
"341","83580","Billy Joel",6,"276",7
"342","599877","Billy Joel",2,"276",25
"343","134464","Billy Joel",8,"276",24
"344","43823","Billy Joel",10,"276",5
"345","536482","Billy Joel",4,"276",5
"346","232719","Billy Joel",2,"276",16
"347","294724","Billy Joel",4,"276",9
"348","483447","Billy Joel",8,"276",3
"349","202026","Billy Joel",4,"276",5
"350","226222","Billy Joel",2,"276",3
"351","576427","Billy Joel",4,"276",19
"352","683484","Billy Joel",6,"276",13
"353","668177","Billy Joel",4,"276",4
"354","546445","Billy Joel",8,"276",4
"355","753063","Billy Joel",2,"276",5
"356","243839","Billy Joel",12,"276",4
"357","207304","Billy Joel",4,"276",5
"358","543368","Billy Joel",2,"276",5
"359","737958","Billy Joel",10,"276",9
"360","334708","Billy Joel",2,"276",14
"361","445838","Billy Joel",4,"276",27
"362","585029","Billy Joel",2,"276",7
"363","155493","Billy Joel",4,"276",3
"364","274490","Billy Joel",2,"276",6
"365","351523","Billy Joel",2,"276",3
"366","392998","Billy Joel",2,"276",3
"367","495162","Billy Joel",2,"276",24
"368","136904","Billy Joel",4,"276",15
"369","261149","Billy Joel",2,"276",10
"370","393620","Billy Joel",2,"276",9
"371","372235","Billy Joel",2,"276",3
"372","85124","Billy Joel",12,"276",13
"373","764291","Billy Joel",4,"276",7
"374","494734","Billy Joel",5,"276",3
"375","110572","Billy Joel",4,"276",3
"376","162527","Billy Joel",2,"276",4
"377","94583","Billy Joel",2,"276",5
"378","5585","Billy Joel",4,"276",3
"379","636518","Billy Joel",2,"276",3
"380","60546","Billy Joel",16,"276",10
"381","734358","Billy Joel",2,"276",4
"382","334937","Billy Joel",2,"276",4
"383","385957","Billy Joel",2,"276",3
"384","440133","Billy Joel",4,"276",3
"385","706321","Billy Joel",1,"276",6
"386","460650","Billy Joel",8,"276",17
"387","39278","Billy Joel",2,"276",3
"388","221321","Billy Joel",3,"276",9
"389","300530","Billy Joel",4,"276",6
"390","735889","Billy Joel",4,"276",4
"391","212342","Billy Joel",2,"276",3
"392","75922","Billy Joel",4,"276",3
"393","286527","Billy Joel",2,"276",3
"394","683284","Billy Joel",8,"276",4
"395","28653","Billy Joel",2,"276",11
"396","34145","Billy Joel",4,"276",19
"397","397720","Billy Joel",8,"276",8
"398","66409","Billy Joel",5,"276",4
"399","600717","Billy Joel",2,"276",11
"400","168237","Billy Joel",6,"276",6
"401","445720","Billy Joel",3,"276",3
"402","631636","Billy Joel",4,"276",4
"403","673244","Billy Joel",3,"276",3
"404","469966","Maná",18,"1653",3
"405","490505","Maná",2,"1653",36
"406","691174","Maná",2,"1653",5
"407","348940","Maná",2,"1653",3
"408","27861","Maná",10,"1653",35
"409","500916","Maná",19,"1653",21
"410","56703","Maná",2,"1653",8
"411","296199","Maná",8,"1653",23
"412","717660","Maná",8,"1653",9
"413","684049","Maná",4,"1653",6
"414","395334","Maná",4,"1653",10
"415","466797","Il Divo",2,"1192",4
"416","541570","Il Divo",2,"1192",17
"417","552574","Maná",12,"1653",13
"418","109269","Maná",4,"1653",13
"419","315240","Maná",14,"1653",20
"420","83087","Maná",2,"1653",14
"421","486036","Maná",16,"1653",10
"422","507121","Maná",4,"1653",12
"423","127237","Maná",6,"1653",3
"424","531853","Maná",12,"1653",26
"425","757882","Maná",24,"1653",22
"426","585180","Maná",4,"1653",7
"427","433997","Il Divo",3,"1192",12
"428","26906","Il Divo",4,"1192",11
"429","292179","Il Divo",2,"1192",29
"430","81997","Maná",3,"1653",22
"431","420226","Maná",8,"1653",3
"432","413598","Maná",4,"1653",3
"433","658027","Maná",15,"1653",4
"434","271380","Maná",8,"1653",4
"435","204522","Maná",2,"1653",4
"436","299380","Maná",6,"1653",7
